78.42,20.74,31.64,25.46,78.39
78.91,22.28,32.33,27.91,78.93
78.96,24.87,32.86,28.11,78.93
78.18,25.83,32.91,23.97,78.16
78.64,26.97,32.88,28.01,78.57
77.83,29.74,31.23,29.63,77.83
78.11,29.77,31.04,27.09,78.09
77.47,30.55,38.10,33.80,77.35
76.71,30.58,31.90,30.88,76.67
76.82,28.91,32.09,26.18,76.83
77.19,31.47,37.12,28.47,77.21
77.05,30.80,35.87,25.55,77.02
77.74,26.64,33.36,22.28,77.72
77.22,23.09,33.62,24.21,77.24
76.77,22.93,39.53,28.88,76.79
76.99,25.44,39.84,27.60,76.98
78.08,28.92,35.83,28.71,78.06
78.04,28.04,33.21,28.35,77.99
77.48,26.73,36.42,27.35,77.51
75.65,27.97,36.68,24.22,75.59
76.39,27.37,33.71,25.91,76.38
76.48,27.97,34.26,27.84,76.40
76.10,32.28,40.27,30.21,76.12
76.95,31.05,34.56,25.18,76.93
76.69,31.39,39.59,28.71,76.72
76.02,30.50,38.20,25.88,76.00
75.33,30.11,35.74,27.92,75.31
74.60,28.95,35.78,29.51,74.56
75.00,27.55,32.19,31.73,74.98
75.20,27.27,34.26,34.14,75.22
75.36,28.79,33.23,27.39,75.40
74.29,28.75,32.61,29.34,74.32
74.95,28.74,34.86,29.25,74.98
75.84,27.23,33.63,34.34,75.78
75.13,25.98,37.62,31.76,75.19
74.24,26.27,38.82,36.72,74.35
73.95,25.73,33.02,34.58,73.90
74.81,25.19,32.93,27.32,74.83
75.86,27.73,34.90,33.49,75.84
74.57,25.69,32.45,33.51,74.58
75.60,25.34,34.40,33.35,75.58
74.32,26.62,37.01,34.94,74.26
74.46,27.78,37.86,31.60,74.42
73.45,24.54,37.29,29.36,73.36
74.37,28.11,37.95,31.63,74.27
72.37,26.50,29.74,28.39,72.47
72.49,24.98,30.32,28.69,72.49
72.42,26.54,30.77,32.73,72.44
71.96,27.49,36.39,31.82,71.93
73.48,25.10,38.23,30.30,73.42
72.94,20.91,38.06,26.05,72.98
72.26,21.31,34.73,34.50,72.28
71.74,23.96,35.43,32.57,71.60
72.27,25.07,32.61,33.38,72.35
72.05,23.31,37.42,27.16,72.12
72.37,23.37,39.02,35.24,72.35
71.33,29.39,38.09,31.07,71.37
71.60,31.06,32.26,29.57,71.62
71.88,29.29,37.73,35.79,71.69
70.77,22.73,36.06,34.62,70.73
71.63,26.22,29.91,29.96,71.57
71.34,22.79,31.64,32.16,71.33
69.95,20.41,32.99,33.36,69.93
69.20,19.86,28.39,37.47,69.18
69.86,18.22,32.18,32.48,69.86
69.69,18.63,32.65,31.61,69.64
68.71,21.71,29.90,32.41,68.74
69.90,23.12,31.11,30.67,69.90
70.31,19.38,34.50,33.11,70.30
68.86,19.95,33.23,32.53,68.80
70.08,17.46,32.91,25.60,70.12
67.88,18.14,33.56,27.90,67.95
69.79,17.84,35.24,28.45,69.77
69.66,17.68,31.58,26.95,69.67
69.11,17.16,37.53,31.49,69.04
68.78,15.11,29.64,30.32,68.80
69.26,17.69,34.35,31.01,69.27
68.57,20.10,32.90,26.05,68.55
67.16,16.79,30.33,29.26,67.10
65.80,17.14,32.62,32.28,65.74
68.08,17.52,32.25,35.04,68.00
68.05,16.53,34.47,32.19,67.93
66.90,14.32,31.73,28.52,66.81
68.13,9.16,29.66,34.06,68.12
68.17,7.20,33.66,33.59,68.11
68.74,7.18,29.75,35.06,68.69
66.64,6.73,35.36,29.51,66.63
67.17,4.86,28.98,30.02,67.18
66.87,8.58,36.77,30.96,66.83
66.73,12.05,28.23,31.16,66.72
66.31,13.55,27.64,29.25,66.31
66.37,12.96,32.31,35.05,66.52
66.88,11.81,29.34,34.22,66.89
65.48,12.13,30.44,32.46,65.59
65.53,12.12,35.33,28.46,65.42
65.83,11.46,30.97,31.52,65.87
64.54,12.22,35.45,35.58,64.36
64.78,13.02,34.73,28.42,64.70
65.56,12.16,34.52,30.60,65.53
65.76,14.41,31.84,31.12,65.71
65.02,14.51,30.76,32.63,64.95
63.29,16.01,34.51,35.04,63.40
63.54,15.97,31.91,29.49,63.50
64.98,14.95,33.92,31.16,64.90
64.45,15.88,33.82,31.46,64.30
64.32,14.90,32.79,33.30,64.17
63.65,18.26,34.42,31.35,63.50
64.22,18.90,31.55,31.23,64.10
62.85,18.61,32.60,32.05,62.83
63.15,18.93,32.62,31.60,62.98
63.55,20.96,35.79,33.40,63.40
63.02,20.60,34.54,30.89,62.78
62.42,19.13,34.39,32.32,62.17
61.46,19.03,35.30,33.43,61.06
62.03,20.95,31.57,32.14,61.87
62.41,20.81,32.23,30.31,62.14
62.00,19.30,34.60,28.11,62.00
61.80,17.28,31.13,27.96,61.61
59.87,18.51,30.78,26.65,59.64
59.26,17.49,30.29,30.03,59.17
59.16,18.56,30.90,28.08,59.14
59.19,17.85,29.78,22.86,59.25
59.86,16.88,30.94,25.78,59.88
59.00,15.43,30.98,28.89,58.96
59.07,16.66,31.88,25.97,58.93
60.55,17.66,31.77,26.68,60.48
61.61,18.23,36.17,27.44,61.35
59.90,18.21,32.03,27.69,59.76
61.30,17.02,31.98,30.04,61.26
59.27,18.94,31.67,28.17,59.06
65.93,22.43,33.73,31.88,66.03
72.16,23.32,35.34,35.75,72.19
73.77,25.22,36.47,27.05,73.74
75.62,26.12,38.84,28.37,75.56
77.00,30.05,39.39,33.16,76.89
76.45,37.26,41.16,29.51,76.41
77.07,39.24,44.19,26.58,77.00
77.97,40.38,44.24,25.55,77.93
77.46,36.70,45.55,25.03,77.34
79.54,37.27,49.72,21.61,79.52
78.66,36.44,53.24,24.93,78.51
78.06,36.14,51.90,26.89,77.92
79.32,41.42,53.23,15.19,79.21
79.25,46.10,53.50,14.87,78.97
79.98,50.18,54.47,19.84,79.97
79.47,50.02,54.15,19.88,79.43
77.21,46.08,53.24,18.14,77.26
77.51,42.53,52.66,19.61,77.42
79.43,46.08,52.14,16.80,79.48
77.88,47.92,50.44,13.58,77.91
78.74,50.69,51.19,16.16,78.77
78.42,54.89,51.77,18.14,77.99
79.92,55.28,53.46,14.54,79.62
81.06,55.99,51.13,21.49,80.68
78.82,52.09,51.50,21.50,78.55
79.05,52.98,51.54,15.95,78.79
79.65,55.83,51.40,20.60,79.18
79.70,57.78,52.69,19.59,79.42
79.52,60.47,52.76,13.78,79.01
78.24,56.52,50.73,23.68,78.10
78.35,53.41,49.71,25.43,77.99
77.61,51.25,50.37,26.43,77.37
77.43,52.29,49.49,24.49,77.21
77.89,54.07,48.42,23.82,77.65
77.97,56.76,48.45,29.47,77.47
77.71,54.89,50.89,27.87,77.43
76.97,51.89,48.48,21.55,76.71
77.79,56.12,47.61,25.03,77.76
76.81,53.89,47.12,22.94,76.77
77.06,53.58,46.83,18.41,77.03
77.92,54.46,44.68,19.46,77.59
78.46,56.92,44.93,23.56,78.03
78.33,60.29,44.87,24.79,77.78
77.85,57.10,43.92,13.61,77.36
78.18,55.28,43.28,20.29,77.70
77.82,55.95,43.57,22.41,77.40
77.20,57.93,43.17,24.51,76.54
77.08,55.75,42.92,25.42,76.67
76.34,52.09,41.99,14.05,76.33
76.45,54.36,41.64,23.14,76.20
77.57,55.65,43.27,29.69,77.03
77.84,54.08,42.82,25.28,77.48
